"id","path","comment","createdAt","source","status","helpful","contact"
"6a0399f44cec3211b35d1577","/support/weave","[easier-to-understand]","2026-05-12T21:21:56.992Z","contextual","pending",false,
"69fd712b3057a9546b8dc9ed","/weave/reference/service-api/opentelemetry/export-trace","[update-docs] There's basically nothing here","2026-05-08T05:14:19.082Z","contextual","pending",false,
"69fa5b131e760c915fa95e4f","/models/ref/cli/wandb-login","[something-else-negative] the key generated is 86 characters but the login requires 40 characters","2026-05-05T21:03:15.834Z","contextual","pending",false,
"69f9f774af3b3d2d31e8bb92","/support/models/articles/how-can-i-delete-my-user-account","[update-docs] There is not button, or it is well hidden","2026-05-05T13:58:12.307Z","contextual","pending",false,
"69f4e53c97b4ff596d2775e0","/models/track/limits","[easy-to-understand]","2026-05-01T17:39:08.874Z","contextual","pending",true,
"69ef295007a3e209ab212d27","/models/runs/resuming","[easier-to-understand] My remove session in visual code studio crashed. I tried to reconnect to the same wandb run ""id"": I tried all the options, but only got ""id is in use"". Isn't that the point of resuming?","2026-04-27T09:16:00.524Z","contextual","pending",false,
"69eaadd2eb57a71cab262ba6","/platform/app/settings-page/storage","[update-docs] ADD LINKS WHERE TO DELETE DATA INTERACTIVELY IN THE UI!!! no dedicated storage page?","2026-04-23T23:40:02.634Z","contextual","pending",false,
"69e8ebf32ef8e36303d175f1","/platform/hosting/hosting-options/self-managed","[up-to-date]","2026-04-22T15:40:35.595Z","contextual","pending",true,
"69df7c93bb9786f1b0ee157d","/models/runs/grouping","[update-docs] Step 4 in ""Remove runs from a group"" does not make sense. The dropdown does not show any group names (only column names) and there is no X in that dropdown to delete anything","2026-04-15T11:54:59.042Z","contextual","pending",false,
"69d57e7eb9294a6778b71643","/models/ref/python/data-types/table","[worked-as-expected]","2026-04-07T22:00:30.332Z","contextual","pending",true,
"69d516f614cefe4d8a28a2b4","/models/integrations/stable-baselines-3","[worked-as-expected]","2026-04-07T14:38:46.900Z","contextual","pending",true,
"69d2be034cb316f48f41f037","/models/runs/run-colors","[up-to-date] Go Black pink in portuguese","2026-04-05T19:54:43.307Z","contextual","pending",true,
"69d1620cf167d7b54728102f","/models/registry/download_use_artifact","[easy-to-find]","2026-04-04T19:10:04.227Z","contextual","pending",true,
"69cec6bdfa9e20c2d95149e7","/models","[something-else-negative] I think this page is too thin - it might be helpful to have like an overview of concepts or something like that and how everything ties in together.","2026-04-02T19:42:53.789Z","contextual","pending",false,
"69cbffc8b53cabe8efdc1b05","/","[update-docs]","2026-03-31T17:09:28.752Z","contextual","pending",false,
"69c8840adbdf48bbf7f5eb37","/models/sweeps/pause-resume-and-cancel-sweeps","[something-else-positive] Info about early-stopping poorly performing configurations was an unexpectedly useful tip.","2026-03-29T01:44:42.976Z","contextual","pending",true,
"69c2a64cdfb56c3a18f1812f","/platform/hosting/env-vars","[something-else-negative] How do I fetch the secrets?","2026-03-24T14:57:16.825Z","contextual","pending",false,
"69bc6172352a8e147860ad96","/platform/hosting/iam/org_team_struct","[something-else-negative] I feel like ""If you are using Dedicated Cloud or a Self-Managed instance, it corresponds to one organization."" Is worded a little weird. To me, it reads like ""organization corresponds to one organization"".","2026-03-19T20:49:54.082Z","contextual","pending",false,
"69b944797210ead338b6de27","/models/quickstart","[easy-to-understand]","2026-03-17T12:09:29.206Z","contextual","pending",true,
"69b4ed6f6209a5819b9eae4b","/models/app/features/custom-charts/walkthrough","delete","2026-03-14T05:09:03.287Z","code_snippet","pending",,
"69b41ad9bec7a00733fdf29d","/platform/launch","[update-docs]","2026-03-13T14:10:33.239Z","contextual","pending",false,
"69b418a59c87da408635c041","/platform/app/settings-page/storage","[update-docs] It says delete data interactively with the app UI - but doesn't give any instructions on how/where to do that","2026-03-13T14:01:09.714Z","contextual","pending",false,
"69af45bf653fc7e2f97d9a3f","/","[easier-to-find] I want the Python SDK API reference and it's buried","2026-03-09T22:12:15.364Z","contextual","pending",false,
"69a9effd237d7798dbe9f180","/platform/hosting/data-security/secure-storage-connector","[something-else-negative] You should not use a shared GSA wandb-integration@wandb-production.iam.gserviceaccount.com across all tenants. If one tenant is hacked that tenant can then administer and retrieve the storage contents for all customers. If you have a customer-specific GSA, even if a master GSA has serviceAccountTokenCreator on all of those customer GSAs, a code breakout within a tenant would still generally be much more protected from breakout across all tenants than in your existing model. -  dane.kantner@tempus.com","2026-03-05T21:05:01.782Z","contextual","pending",false,
"69a9acce414dfcbd0d1960aa","/models","[easy-to-find]","2026-03-05T16:18:22.822Z","contextual","pending",true,
"69a9aca42ed48754ff254f26","/","[easy-to-find]","2026-03-05T16:17:40.236Z","contextual","pending",true,
"69a9ac9d2ed48754ff254f1a","/","[easy-to-find]","2026-03-05T16:17:33.110Z","contextual","pending",true,
"69a9ac5c125002b123bb4262","/","[easy-to-find]","2026-03-05T16:16:28.321Z","contextual","pending",true,
"69a985c2c826a3c413d9318e","/models/runs/manage-runs","[something-else-negative] Documentation out of date. Moving project/run to team not working","2026-03-05T13:31:46.635Z","contextual","pending",false,
"69a79b1b9fa548215e138a07","/","[easier-to-understand] i wanna see at glance what product does what. also naming is a bit weird. you have models but write at inference about accessing models. generally it would be helpful to see some graphics or schematics that explain the differences and different use cases.","2026-03-04T02:38:19.283Z","contextual","pending",false,
"69a19268a9dbf19448b53ff1","/platform/launch","[get-started-faster]","2026-02-27T12:47:36.193Z","contextual","pending",false,
"699d3f8e771df2a5341d2182","/models/ref/cli/wandb-launch-sweep","[easy-to-find]","2026-02-24T06:05:02.367Z","contextual","pending",true,
"699891f2843e69b2a1ba3f63","/platform/launch","[update-docs]","2026-02-20T16:55:14.469Z","contextual","pending",false,
"698d7fcd3e343964fb1998a3","/ko/platform/launch/integration-guides","[update-docs]","2026-02-12T07:22:53.694Z","contextual","pending",false,
"698be59f816b5360fed6ede2","/models","[update-docs]","2026-02-11T02:12:47.157Z","contextual","pending",false,
"698a0ad3066f474edf74f5eb","/weave/guides/tracking/trace-tree","[something-else-negative] I want to figure out how to move a weave eval to a different project. I was hoping this page would show me that, but it doesn't","2026-02-09T16:26:59.931Z","contextual","pending",false,
"69848e951b066f91d7020ae9","/models/ref/python/custom-charts/line_series","[something-else-negative] there is not picture of the actual plot","2026-02-05T12:35:33.755Z","contextual","pending",false,
"6981db27c8fc8d1c431a0384","/weave/cookbooks/ocr-pipeline","[something-else-positive] Good but I was hoping for information on creating the dataset with images. That part of the process is less clear upon reviewing your docs. Text-based datasets = easy; image-based datasets = can't find good info as easily.","2026-02-03T11:25:27.469Z","contextual","pending",true,
"69814220aee5622e95030191","/inference/lora","[worked-as-expected]","2026-02-03T00:32:32.455Z","contextual","pending",true,
"697d460dcb83135eb8fa4407","/models/ref/python/experiments/artifact","sample_history() doesn't seem to work. Should likely use run.scan_history() instead.","2026-01-31T00:00:13.209Z","code_snippet","pending",,
"697b05ec76d40e03793c741e","/platform/hosting/hosting-options/self-managed","[easier-to-find]","2026-01-29T07:02:04.690Z","contextual","pending",false,
"697b04b22525f49928836e25","/models/sweeps/walkthrough","[something-else-negative] You don't show how other users can use the same sweep id and contribute a run to the sweep. Show for teams and for open projects,","2026-01-29T06:56:50.433Z","contextual","pending",false,
"6979e02f1147b3837e7ebaf9","/platform/hosting/hosting-options/self-managed","[get-started-faster] Dockerでの簡易的なセルフホストについてもっと詳しく説明してほしい","2026-01-28T10:08:47.039Z","contextual","pending",false,
"69795e4986295cc525718f86","/weave/quickstart","[easier-to-understand] weaveライブラリと、wandbライブラリの違いを分かりやすく提示してほしい","2026-01-28T00:54:33.143Z","contextual","pending",false,
"697808ec5a97249657c38dd0","/models/ref/python/functions/finish","[get-started-faster] examples","2026-01-27T00:38:04.230Z","contextual","pending",false,
"6977a6e602dea31ef228f476","/platform/launch/create-and-deploy-jobs","[update-docs]","2026-01-26T17:39:50.384Z","contextual","pending",false,
"69775a022e19728a4e73854c","/models/ref/python/public-api/api","Not the code directly, but the mongodb link in the description is dead","2026-01-26T12:11:46.602Z","code_snippet","pending",,
"6972e8520a13778bf4173b8f","/models/integrations/sagemaker","[something-else-negative] nothing on this doc","2026-01-23T03:17:38.623Z","contextual","pending",false,
"696e9ea1f3ae37376178f36c","/models/ref/cli/wandb-artifact/wandb-artifact-cache/wandb-artifact-cache-cleanup","[update-docs]","2026-01-19T21:14:09.341Z","contextual","pending",false,
"696a2d4028d9127d59aad964","/","[something-else-positive]","2026-01-16T12:21:20.377Z","contextual","pending",true,
